 전차 오다 당;;;﻿ 전차 가 왔 당 께
그렇다 이만 간 데이;;;그럼 이만 간 데이
NAME;;;NAME
정말 가다 거구;;;정말 가는 거구 나
그 게;;;그 라 게
NAME 요리 이 지역 최 고니;;;NAME 의 요리 는 이 지역 최 고니 께
도쿄 통 하다 기;;;도쿄 에서도 통할 기 다
자;;;자
학업 성취 부적 이란;;;학업 성취 부적 이란 다
응;;;응
내 꼭 훌륭하다 요리사 되어다 돌아오다 테;;;내 가 꼭 훌륭한 요리사 가 되어 돌아올 테 니
벼랑 끝 이다 …;;;벼랑 끝 입니 다 …
향 하다;;;향해 가 네
모든 걸 걸다;;;모든 걸 걸고 서
그 요리사 웃다 않다;;;그 요리사 는 웃지 않는 다
NAME;;;NAME
고등 부 학년;;;고등 부 학년
NAME 님 …;;;NAME 님 …
오늘 아름답다;;;오늘 도 아름다 우 셔
그야말로 완전 초인;;;그야말로 완전 초인
하루 데이트;;;하루 만이라도 데이트
바보;;;바보 야
그렇다;;;그래
상대 요리 계 마피아 이끌다;;;상대 는 요리 계 의 마피아 를 이끄는
두목 손녀;;;두목 의 손녀 라고
그렇지만 …;;;그렇지만 …
아니다 일본 요리 업계 좌지우지 하다;;;아니 일본 의 요리 업계 를 좌지우지 하는
미식 화신;;;미식 의 화신
마왕 요리 마왕;;;마왕 요리 의 마왕 이야
고등 부 진학 축하 하다;;;고등 부 진학을 축하한 다
제군 들;;;제군 들 은
중등 부 년 간;;;중등 부 에서 년 간
조리 기초 기술 배우다;;;조리 의 기초 기술 을 배우고
식 재료 대한 이해 더 하다;;;식 재료 에 대한 이해 를 더했 다
실제 요리 하다;;;실제 로 요리 를 하는
그리고 지금;;;그리고 지금
고등 부 입구 선 것;;;고등 부 입구 에 선 것 이지만
앞 시험 당하다 건;;;앞 으로 시험 당하는 건
기교 지식 아니다;;;기교 나 지식 이 아니 다
요리사 로서 살아가다 기개 그 자체;;;요리사 로서 살아갈 기개 그 자체
제군 들 중 늘다;;;제군 들 중 는
그렇다;;;그러 네
작년 학년 신입생;;;작년 학년 신입생
무능 범부 가차 없이 치다 내다;;;무능 과 범부 는 가차 없이 쳐 낸 다
천 명의 학년;;;천 명의 학년 이
진급 하다 무렵 백 명 줄;;;진급 할 무렵 에는 백 명 으로 줄 고
졸업 도달 하다 자다;;;졸업 까지 도달한 자는
하다 손 꼽 수 있다;;;한 손 에 꼽 을 수 있겠 지
바로 네;;;바로 네 가
연마 하라;;;연마 하라
이상;;;이상 이다
소수 정예 교육 이지;;;소수 정예 교육 이지
졸업 도달 하다;;;졸업 까지 도달하면
평생 요리 계 스타덤 걷다 되다;;;평생 요리 계 의 스타덤 을 걷게 된 다
하지만;;;하지만
가엾다 느껴지다;;;가엾 게 느껴지 네
숙명 타고 나다;;;숙명 을 타고 났 으니까
NAME 정점;;;NAME 의 정점
그리고 일본 요리 계;;;그리고 일본 요리 계 에
NAME 거들다;;;NAME 거든
마지막 금일 부로;;;마지막 으로 금일 부로
편입 하다 학생;;;편입 할 학생 을
하다 명 소개 하다;;;한 명 소개하겠 습니다
나 다른 심사 합격자 나오다;;;나 와는 다른 심사 로 합격자 가 나왔 구나
NAME;;;NAME
오지 말;;;오지 말 라고
